g1-xl4-p5,g1-xl4-p4,g1-xl4-p3,g1-xl4-p2,g1-xl4-p10,g1-xl4-p1,g1-xl3-p5,g1-xl3-p4,g1-xl3-p3,g1-xl3-p2,g1-xl3-p10,g1-xl3-p1,g1-xl2-p5,g1-xl2-p4,g1-xl2-p3,g1-xl2-p2,g1-xl2-p10,g1-xl2-p1,g1-m4-p5,g1-m4-p4,g1-m4-p3,g1-m4-p2,g1-m4-p10,g1-m4-p1,g1-m3-p5,g1-m3-p4,g1-m3-p3,g1-m3-p2,g1-m3-p10,g1-m3-p1,g1-m2-p5,g1-m2-p4,g1-m2-p3,g1-m2-p2,g1-m2-p10,g1-m2-p1,g1-l4-p5,g1-l4-p4,g1-l4-p3,g1-l4-p2,g1-l4-p10,g1-l4-p1,g1-l3-p5,g1-l3-p4,g1-l3-p3,g1-l3-p2,g1-l3-p10,g1-l3-p1,g1-l2-p5,g1-l2-p4,g1-l2-p3,g1-l2-p2,g1-l2-p10,g1-l2-p1
443.0,0.0,0.0,394.0,442.0,171.0,445.0,445.0,447.0,422.0,442.0,205.0,443.0,444.0,445.0,449.0,442.0,235.0,449.0,450.0,301.0,222.0,443.0,113,445.0,0.0,363.0,259.0,443.0,116.0,0.0,0.0,449.0,351.0,442.0,166.0,450.0,450.0,445.0,373.0,0.0,176.0,445.0,449.0,446.0,311.0,443.0,125.0,0.0,0.0,450.0,335.0,442.0,181.0
0.0,444.0,447.0,397.0,0.0,221.0,0.0,0.0,0.0,400.0,0.0,205.0,0.0,0.0,0.0,445.0,0.0,215.0,0.0,450.0,247.0,231.0,0.0,135,0.0,448.0,448.0,310.0,0.0,138.0,444.0,446.0,450.0,336.0,0.0,172.0,450.0,450.0,237.0,388.0,442.0,101.0,0.0,0.0,376.0,300.0,0.0,135.0,444.0,446.0,450.0,352.0,0.0,170.0
443.0,0.0,0.0,395.0,442.0,201.0,444.0,444.0,447.0,403.0,442.0,214.0,443.0,444.0,445.0,426.0,442.0,222.0,449.0,450.0,371.0,226.0,443.0,100,445.0,0.0,342.0,291.0,442.0,165.0,0.0,0.0,450.0,354.0,442.0,196.0,54.0,451.0,372.0,206.0,0.0,55.0,445.0,449.0,396.0,249.0,442.0,131.0,0.0,0.0,450.0,332.0,442.0,172.0
0.0,444.0,447.0,372.0,0.0,188.0,0.0,0.0,0.0,406.0,0.0,200.0,0.0,0.0,0.0,434.0,0.0,217.0,0.0,450.0,444.0,161.0,0.0,90,0.0,448.0,448.0,272.0,0.0,123.0,444.0,446.0,450.0,357.0,0.0,152.0,450.0,451.0,336.0,208.0,442.0,119.0,0.0,0.0,355.0,292.0,0.0,159.0,443.0,446.0,450.0,354.0,0.0,159.0
443.0,0.0,0.0,410.0,442.0,182.0,444.0,444.0,447.0,436.0,442.0,199.0,443.0,444.0,445.0,441.0,442.0,213.0,449.0,450.0,380.0,247.0,442.0,93,445.0,0.0,353.0,253.0,442.0,158.0,0.0,0.0,450.0,341.0,442.0,175.0,0.0,451.0,381.0,207.0,0.0,0.0,445.0,448.0,448.0,311.0,442.0,128.0,0.0,0.0,450.0,357.0,442.0,158.0
0.0,444.0,447.0,413.0,0.0,204.0,0.0,0.0,0.0,403.0,0.0,199.0,0.0,0.0,0.0,440.0,0.0,227.0,0.0,451.0,258.0,214.0,0.0,135,0.0,448.0,380.0,299.0,0.0,132.0,443.0,446.0,450.0,332.0,0.0,167.0,450.0,45.0,304.0,288.0,442.0,0.0,0.0,0.0,396.0,278.0,0.0,153.0,443.0,445.0,451.0,317.0,0.0,174.0
443.0,0.0,0.0,445.0,441.0,192.0,444.0,444.0,446.0,406.0,441.0,205.0,443.0,443.0,445.0,445.0,441.0,227.0,448.0,451.0,267.0,201.0,442.0,118,445.0,0.0,348.0,310.0,442.0,139.0,0.0,0.0,451.0,358.0,441.0,173.0,0.0,451.0,445.0,240.0,0.0,0.0,445.0,448.0,392.0,288.0,442.0,135.0,0.0,0.0,451.0,346.0,441.0,166.0
0.0,444.0,446.0,383.0,0.0,166.0,0.0,0.0,0.0,408.0,0.0,197.0,0.0,0.0,0.0,451.0,0.0,225.0,0.0,451.0,0.0,246.0,0.0,124,0.0,447.0,398.0,271.0,0.0,136.0,443.0,446.0,451.0,338.0,0.0,182.0,449.0,0.0,249.0,202.0,442.0,146.0,0.0,0.0,385.0,264.0,0.0,146.0,443.0,445.0,451.0,356.0,0.0,171.0
443.0,0.0,0.0,360.0,441.0,220.0,444.0,444.0,446.0,443.0,441.0,204.0,443.0,443.0,444.0,441.0,441.0,221.0,448.0,451.0,443.0,233.0,442.0,54,444.0,0.0,414.0,262.0,442.0,142.0,0.0,0.0,451.0,376.0,441.0,170.0,0.0,451.0,396.0,253.0,0.0,90.0,444.0,448.0,448.0,336.0,442.0,111.0,0.0,0.0,451.0,337.0,441.0,167.0
0.0,444.0,446.0,422.0,0.0,242.0,0.0,0.0,0.0,366.0,0.0,192.0,0.0,0.0,0.0,439.0,0.0,227.0,0.0,452.0,444.0,274.0,0.0,112,0.0,447.0,449.0,285.0,0.0,125.0,443.0,445.0,451.0,314.0,0.0,175.0,449.0,0.0,340.0,257.0,442.0,109.0,0.0,0.0,425.0,306.0,0.0,155.0,443.0,445.0,451.0,344.0,0.0,168.0
442.0,0.0,0.0,404.0,441.0,164.0,444.0,444.0,446.0,419.0,441.0,201.0,442.0,443.0,444.0,442.0,441.0,220.0,448.0,452.0,444.0,166.0,442.0,168,444.0,0.0,393.0,262.0,442.0,151.0,0.0,0.0,451.0,332.0,441.0,178.0,0.0,450.0,349.0,298.0,0.0,121.0,444.0,448.0,432.0,247.0,442.0,168.0,0.0,0.0,452.0,314.0,441.0,166.0
0.0,443.0,446.0,360.0,0.0,193.0,0.0,0.0,0.0,390.0,0.0,205.0,0.0,0.0,0.0,427.0,0.0,214.0,0.0,452.0,0.0,222.0,0.0,89,0.0,447.0,449.0,259.0,0.0,139.0,443.0,445.0,452.0,339.0,0.0,183.0,449.0,0.0,294.0,197.0,441.0,0.0,0.0,0.0,359.0,282.0,0.0,121.0,443.0,445.0,452.0,338.0,0.0,173.0
442.0,0.0,0.0,401.0,441.0,178.0,443.0,443.0,446.0,410.0,441.0,191.0,442.0,443.0,444.0,432.0,441.0,219.0,448.0,452.0,444.0,223.0,441.0,102,444.0,0.0,374.0,307.0,441.0,158.0,0.0,0.0,452.0,354.0,441.0,152.0,0.0,450.0,446.0,168.0,0.0,217.0,444.0,447.0,384.0,292.0,441.0,141.0,0.0,0.0,452.0,347.0,441.0,154.0
0.0,443.0,446.0,373.0,0.0,204.0,0.0,0.0,0.0,422.0,0.0,209.0,0.0,0.0,0.0,441.0,0.0,234.0,0.0,452.0,0.0,288.0,0.0,97,0.0,447.0,449.0,285.0,0.0,151.0,443.0,445.0,452.0,321.0,0.0,166.0,449.0,0.0,272.0,275.0,441.0,158.0,0.0,0.0,450.0,276.0,0.0,162.0,442.0,444.0,452.0,347.0,0.0,178.0
442.0,0.0,0.0,445.0,441.0,213.0,443.0,443.0,446.0,432.0,441.0,205.0,442.0,443.0,444.0,452.0,441.0,220.0,448.0,453.0,443.0,209.0,441.0,121,444.0,0.0,343.0,287.0,441.0,140.0,0.0,0.0,452.0,359.0,441.0,188.0,0.0,450.0,362.0,299.0,0.0,0.0,444.0,447.0,376.0,319.0,441.0,153.0,0.0,0.0,453.0,331.0,441.0,161.0
0.0,443.0,446.0,366.0,0.0,177.0,0.0,0.0,0.0,385.0,0.0,206.0,0.0,0.0,0.0,430.0,0.0,220.0,0.0,453.0,444.0,186.0,0.0,113,0.0,446.0,412.0,290.0,0.0,133.0,442.0,445.0,453.0,345.0,0.0,164.0,449.0,0.0,306.0,290.0,441.0,197.0,0.0,0.0,360.0,320.0,0.0,147.0,442.0,444.0,453.0,348.0,0.0,169.0
442.0,0.0,0.0,404.0,440.0,172.0,443.0,443.0,445.0,402.0,440.0,192.0,442.0,442.0,444.0,442.0,440.0,225.0,447.0,453.0,444.0,218.0,441.0,111,443.0,0.0,362.0,276.0,441.0,128.0,0.0,0.0,453.0,334.0,440.0,180.0,0.0,450.0,404.0,166.0,0.0,0.0,444.0,447.0,450.0,272.0,441.0,133.0,0.0,0.0,453.0,337.0,440.0,185.0
